Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective July 1, 2026 through September 30, 2026",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q26 ASP data.,,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J0462,"Atropine sulf, nte, 0.01 mg",0.01 MG,0.127,20.000,,,,,,,,
J0463,Inj atropine (fresenius te),0.01 MG,0.017,20.000,,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,186.106,20.000,,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,43.840,20.000,,,,,,,,
J0480,Basiliximab,20 MG,4905.049,20.000,,,,,,,,
J0485,Belatacept injection,1 MG,3.885,20.000,,,,,,,,
J0490,Belimumab injection,10 MG,58.296,20.000,,,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,18.508,20.000,,,,,,,,
J0500,Dicyclomine injection,20 MG,8.520,20.000,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,13.537,20.000,,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,165.563,20.000,,,,,,"""lesser of"" methodology applied",,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",19.523,15.338,,,,,,Inflation-adjusted coinsurance,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",32.592,11.593,,,,,,Inflation-adjusted coinsurance,,
J0577,"Inj, brixadi, 7 days or less",Less than or equal to 7 days of therapy ,430.576,19.842,,,,,,Inflation-adjusted coinsurance,,
J0578,"Inj brixadi, more than 7 day",Greater than 7 days and up to 28 days of therapy ,1722.305,19.842,,,,,,Inflation-adjusted coinsurance,,
J0582,Bivalirudin (endo) 1 mg,1 MG,0.157,20.000,,,,,,,,
J0583,Bivalirudin,1 MG,0.166,20.000,,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,513.371,17.876,,,,,,Inflation-adjusted coinsurance,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.506,20.000,,,,,,,,
